Medicine Name,Dosage,Form,Frequency,Duration,High Risk,Low Risk
Aspirin,500mg,Tablet,Once daily,7 days,Memory loss,Exercise regularly
Metformin,1000mg,Tablet,Twice daily,30 days,Frequent confusion,Exercise regularly
Ibuprofen,200mg,Tablet,Every 4-6 hours,As needed,Frequent confusion,Exercise regularly
Amoxicillin,500mg,Capsule,Twice daily,10 days,Cognitive decline,Exercise regularly
Lisinopril,10mg,Tablet,Once daily,Indefinitely,Frequent confusion,Exercise regularly
Atorvastatin,20mg,Tablet,Once daily,Indefinitely,Cognitive decline,Exercise regularly
Omeprazole,40mg,Capsule,Once daily,14 days,Memory loss,Exercise regularly
Ciprofloxacin,250mg,Tablet,Twice daily,7 days,Cognitive decline,Exercise regularly
Levothyroxine,75mcg,Tablet,Once daily,Indefinitely,Memory loss,Exercise regularly
Paracetamol,500mg,Tablet,As needed,As needed,Cognitive decline,Exercise regularly
Simvastatin,20mg,Tablet,Once daily,Indefinitely,Frequent confusion,Exercise regularly
Losartan,50mg,Tablet,Once daily,Indefinitely,Frequent confusion,Exercise regularly
Warfarin,5mg,Tablet,Once daily,Indefinitely,Cognitive decline,Exercise regularly
Prednisone,10mg,Tablet,Once daily,5 days,Cognitive decline,Exercise regularly
Albuterol,90mcg,Inhaler,As needed,As needed,Memory loss,Exercise regularly
Hydrochlorothiazide,25mg,Tablet,Once daily,Indefinitely,Cognitive decline,Exercise regularly
Gabapentin,300mg,Capsule,Twice daily,30 days,Memory loss,Exercise regularly
Azithromycin,500mg,Tablet,Once daily,5 days,Frequent confusion,Exercise regularly
Amlodipine,5mg,Tablet,Once daily,Indefinitely,Memory loss,Exercise regularly
Clopidogrel,75mg,Tablet,Once daily,Indefinitely,Frequent confusion,Exercise regularly
Duloxetine,30mg,Capsule,Once daily,30 days,Cognitive decline,Exercise regularly
Esomeprazole,20mg,Capsule,Once daily,14 days,Frequent confusion,Exercise regularly
Montelukast,10mg,Tablet,Once daily,Indefinitely,Memory loss,Exercise regularly
Sertraline,50mg,Tablet,Once daily,Indefinitely,Frequent confusion,Exercise regularly
Citalopram,20mg,Tablet,Once daily,30 days,Memory loss,Exercise regularly
